theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-04-01,197.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-31,136.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-30,130.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-29,152.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-28,161.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-27,195.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-26,187.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-25,175.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-24,171.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-23,128.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-22,124.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-21,158.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-20,170.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-19,149.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-18,184.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-17,190.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-16,116.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-15,148.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-14,185.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-13,206.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-12,234.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-11,195.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-10,169.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-09,149.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-08,147.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-07,193.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-06,211.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-05,200.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-04,189.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-03,157.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-02,112.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-03-01,156.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-29,167.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-28,159.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-27,162.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-26,199.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-25,185.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-24,136.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-23,183.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-22,198.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-21,247.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-20,264.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-19,261.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-18,234.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-17,199.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-16,248.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-15,315.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-14,264.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-13,298.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-12,290.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-11,282.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-10,235.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-09,270.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-08,327.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-07,374.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-06,416.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-05,426.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-04,418.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-03,357.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-02,319.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-02-01,403.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-31,436.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-30,482.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-29,458.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-28,419.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-27,322.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-26,361.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-25,478.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-24,571.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-23,597.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-22,554.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-21,547.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-20,429.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-19,458.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-18,502.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-17,558.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-16,527.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-15,555.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-14,438.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-13,355.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-12,387.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-11,503.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-10,503.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-09,517.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-08,506.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-07,455.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-06,421.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-05,489.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-04,566.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-03,636.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-02,649.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2024,2024-01-01,584.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-31,525.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-30,527.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-29,580.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-28,615.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-27,673.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-26,605.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-25,456.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-24,382.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-23,422.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-22,453.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-21,549.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-20,617.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-19,652.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-18,599.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-17,534.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-16,400.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-15,413.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-14,458.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-13,510.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-12,476.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-11,514.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-10,483.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-09,348.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-08,307.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-07,364.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-06,455.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-05,420.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-04,430.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-03,380.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-02,263.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-12-01,255.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-30,305.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-29,324.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-28,332.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-27,327.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-26,302.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-25,215.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-24,231.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-23,283.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-22,291.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-21,295.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-20,280.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-19,281.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-18,216.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-17,233.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-16,282.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-15,316.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-14,313.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-13,314.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-12,303.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-11,251.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-10,238.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-09,351.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-08,338.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-07,356.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-06,361.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-05,362.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-04,294.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-03,289.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-02,379.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_healthcare_admissionByDay,all,all,default,2023,2023-11-01,378.0000,False
